created_at;comment_id;user_id
5 Январь, 2024, 09:05;40 905;08b3d911-b0b1-64d4-0474-56bdb5862f8c
5 Январь, 2024, 09:12;40 918;ec2343cd-4964-02de-d22b-cca1aee099b7
5 Январь, 2024, 10:04;40 925;059a1960-bdb1-c0a5-9a59-281716267699
5 Январь, 2024, 10:15;40 925;38088d55-350b-6b20-e48f-40cdd1937587
5 Январь, 2024, 10:17;40 926;cf3910b4-afb9-701f-1128-fd84e1dd5dcd
5 Январь, 2024, 10:30;40 926;641061d2-fd09-80ef-f585-f4a666993953
5 Январь, 2024, 10:58;40 926;55b6f536-7b08-3c7c-3d3f-d24897e05928
5 Январь, 2024, 11:07;40 925;04fb3dc7-66c8-3f38-76a0-a068bce977dc
5 Январь, 2024, 11:22;40 926;a0150fef-a71d-6606-d5e6-42fa0e7b8ad8
5 Январь, 2024, 11:40;40 926;6cf6adce-d7d2-6eff-75d1-e0e5c60976ba
5 Январь, 2024, 11:57;40 925;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 11:57;40 929;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 11:57;40 933;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 12:05;40 935;4976948f-522a-9390-3c61-2b5fd56ffe96
5 Январь, 2024, 12:05;40 926;08b3d911-b0b1-64d4-0474-56bdb5862f8c
5 Январь, 2024, 12:23;40 937;6d2f6771-1cdd-0859-e8ab-38f459356703
5 Январь, 2024, 12:25;40 894;cecb3bd5-5ea6-3370-7162-a51424d086da
5 Январь, 2024, 12:28;40 894;0919dc7f-d5ad-d84e-2c25-dd10afc9163b
5 Январь, 2024, 13:01;40 937;7429dfc0-e5bc-202b-469e-a669d59f8ec2
5 Январь, 2024, 13:36;40 942;a98fae55-e70b-872e-dcff-4c3c30340423
5 Январь, 2024, 13:39;40 942;1f41a5b2-b425-2301-97f1-751def21e1d0
5 Январь, 2024, 13:41;40 939;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 13:41;40 941;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 13:43;40 942;8b6b9130-35de-7279-dd6a-67aca541fa93
5 Январь, 2024, 13:44;40 942;c9e9f23e-3194-c36e-66bb-afb0b929aef7
5 Январь, 2024, 13:44;40 943;c9e9f23e-3194-c36e-66bb-afb0b929aef7
5 Январь, 2024, 15:49;40 948;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 15:49;40 943;908dd17e-6d11-5ec9-4759-f9e9d61ebcb5
5 Январь, 2024, 16:05;40 943;bb6ca36c-7ec7-f620-1627-51717d7a96e7
5 Январь, 2024, 16:34;40 955;d47ed272-2f93-59fc-df06-33039f996534
5 Январь, 2024, 16:38;40 957;d47ed272-2f93-59fc-df06-33039f996534
5 Январь, 2024, 16:38;40 958;d47ed272-2f93-59fc-df06-33039f996534
5 Январь, 2024, 16:39;40 959;d47ed272-2f93-59fc-df06-33039f996534
5 Январь, 2024, 17:05;40 953;17a11bcf-2c03-f866-a7a4-2b77f52e93a9
5 Январь, 2024, 17:07;40 939;17a11bcf-2c03-f866-a7a4-2b77f52e93a9
5 Январь, 2024, 17:18;40 926;607459fe-44b7-0772-615f-6e09442d2645
5 Январь, 2024, 17:25;40 953;b7be92c6-ab53-b3d1-7be4-a2ad66e6d7eb
5 Январь, 2024, 17:38;40 939;bf537baa-8bb1-82e9-284a-d1decb39db1c
5 Январь, 2024, 17:38;40 953;bf537baa-8bb1-82e9-284a-d1decb39db1c
5 Январь, 2024, 18:23;40 968;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 18:23;40 953;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 18:36;40 970;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 18:36;40 971;d5e0ccc6-1ee4-2c1f-7e8d-f2cea1af5533
5 Январь, 2024, 18:42;40 959;87583219-9460-99db-f60e-aa6757aaf641
5 Январь, 2024, 18:42;40 894;87583219-9460-99db-f60e-aa6757aaf641
5 Январь, 2024, 18:42;40 884;87583219-9460-99db-f60e-aa6757aaf641
5 Январь, 2024, 18:42;40 877;87583219-9460-99db-f60e-aa6757aaf641
5 Январь, 2024, 18:54;40 970;1984a928-a41c-93cd-0f65-5db088a6858d
5 Январь, 2024, 19:03;40 970;20f69969-b9ac-072f-ec63-8eb46e52bcc0
5 Январь, 2024, 19:04;40 968;20f69969-b9ac-072f-ec63-8eb46e52bcc0
5 Январь, 2024, 19:59;40 970;94606c98-d0e5-aa87-0c6d-3b5380a89085
5 Январь, 2024, 19:59;40 968;94606c98-d0e5-aa87-0c6d-3b5380a89085
